precio_texto,tipo_y_ciudad,titulo,habitaciones_texto,banos_texto,area_texto,url_aviso,pagina
Desde $ 209.740.910,"Apartamento en Pereira, Risaralda","Fortal reserva de alamos, apartamentos en venta en universidad, pereira",1 Hab,1 Baño,30.45 m²,https://www.fincaraiz.com.co/proyectos-vivienda/fortal-reserva-de-alamos-apartamentos-en-venta-en-universidad-pereira/15018435,1
Desde $ 500.087.060,"Apartamento en Pereira, Risaralda","Torres de toscana, apartamento en venta en sector belmonte, pereira",2 Habs.,2 Baños,68.56 m²,https://www.fincaraiz.com.co/proyectos-vivienda/torres-de-toscana-apartamentos-en-venta-en-sector-belmonte-pereira/3756160,1
$ 1.000.000.000,"Apartamento en Pereira, Risaralda","Apartamento en venta en pinares, pereira",3 Habs.,3 Baños,190 m²,https://www.fincaraiz.com.co/apartamento-en-venta-en-pinares-pereira/193151315,1
$ 720.000.000,"Apartamento en Pereira, Risaralda","Apartamento en venta en cerritos, pereira",2 Habs.,3 Baños,93 m²,https://www.fincaraiz.com.co/apartamento-en-venta-en-cerritos-pereira/193151319,1
$ 4.725.000.000,"Finca en Pereira, Risaralda","Finca en venta en caimalito, pereira",2 Habs.,1 Baño,672000 m²,https://www.fincaraiz.com.co/finca-en-venta-en-caimalito-pereira/193151317,1
$ 1.250.000.000,"Finca en Pereira, Risaralda",Finca en venta en pereira,5 Habs.,3 Baños,450 m²,https://www.fincaraiz.com.co/finca-en-venta-en-pereira/193151325,1
$ 1.390.000.000,"Casa Campestre en Pereira, Risaralda",Casa campestre en venta en pereira,3 Habs.,4 Baños,300 m²,https://www.fincaraiz.com.co/casa-campestre-en-venta-en-pereira/193151339,1
$ 1.050.000.000,"Apartamento en Pereira, Risaralda",Apartamento en venta en pereira,3 Habs.,3 Baños,220 m²,https://www.fincaraiz.com.co/apartamento-en-venta-en-pereira/193151348,1
$ 800.000.000,"Lote en Pereira, Risaralda","Lote en venta en cerritos, pereira",2603 m²,,,https://www.fincaraiz.com.co/lote-en-venta-en-cerritos-pereira/193878201,1
$ 2.790.000.000,"Casa Campestre en Pereira, Risaralda",Casa campestre en venta en pereira,4 Habs.,6 Baños,685 m²,https://www.fincaraiz.com.co/casa-campestre-en-venta-en-pereira/193947114,1
$ 1.500.000.000,"Lote en Pereira, Risaralda",Lote en venta en pereira,2635 m²,,,https://www.fincaraiz.com.co/lote-en-venta-en-pereira/193947193,1
$ 1.400.000.000,"Casa Campestre en Pereira, Risaralda","Casa campestre en venta en condina, pereira",5 Habs.,5 Baños,310 m²,https://www.fincaraiz.com.co/casa-campestre-en-venta-en-condina-pereira/194174882,1
$ 1.200.000.000,"Casa Campestre en Pereira, Risaralda",Casa campestre en venta en pereira,3 Habs.,3 Baños,290 m²,https://www.fincaraiz.com.co/casa-campestre-en-venta-en-pereira/194174943,1
$ 2.200.000.000,"Casa Campestre en Pereira, Risaralda","Casa campestre en venta en combia, pereira",4 Habs.,5 Baños,480 m²,https://www.fincaraiz.com.co/casa-campestre-en-venta-en-combia-pereira/194221726,1
$ 431.000.000,"Lote en Pereira, Risaralda","Lote en venta en cerritos, pereira",2327 m²,,,https://www.fincaraiz.com.co/lote-en-venta-en-cerritos-pereira/193150209,1
$ 825.000.000,"Lote en Pereira, Risaralda","Lote en venta en cerritos, pereira",2750 m²,,,https://www.fincaraiz.com.co/lote-en-venta-en-cerritos-pereira/193151321,1
$ 2.500.000.000,"Casa Campestre en Pereira, Risaralda","Casa campestre en venta en cerritos, pereira",4 Habs.,4 Baños,479 m²,https://www.fincaraiz.com.co/casa-campestre-en-venta-en-cerritos-pereira/193151326,1
$ 596.000.000,"Lote en Pereira, Risaralda","Lote en venta en cerritos, pereira",4775 m²,,,https://www.fincaraiz.com.co/lote-en-venta-en-cerritos-pereira/193151328,1
$ 4.200.000.000,"Casa Campestre en Pereira, Risaralda","Casa campestre en venta en cerritos, pereira",4 Habs.,5 Baños,350 m²,https://www.fincaraiz.com.co/casa-campestre-en-venta-en-cerritos-pereira/193151331,1
$ 2.500.000.000,"Apartamento en Pereira, Risaralda",Apartamento en venta en pereira,3 Habs.,3 Baños,229 m²,https://www.fincaraiz.com.co/apartamento-en-venta-en-pereira/193978935,1
$ 1.800.000.000,"Casa Campestre en Pereira, Risaralda","Casa campestre en venta en cerritos, pereira",3 Habs.,4 Baños,3353 m²,https://www.fincaraiz.com.co/casa-campestre-en-venta-en-cerritos-pereira/194039007,1
$ 860.000.000,"Apartamento en Pereira, Risaralda","Apartamento en venta en cerritos, pereira",2 Habs.,2 Baños,80 m²,https://www.fincaraiz.com.co/apartamento-en-venta-en-cerritos-pereira/194135940,2
$ 1.800.000.000,"Casa en Pereira, Risaralda","Casa en venta en cerritos, pereira",4 Habs.,4 Baños,350 m²,https://www.fincaraiz.com.co/casa-en-venta-en-cerritos-pereira/194184411,2
$ 1.500.000.000,"Lote en Pereira, Risaralda","Lote en venta en cerritos, pereira",7749 m²,,,https://www.fincaraiz.com.co/lote-en-venta-en-cerritos-pereira/193151337,2
$ 889.000.000,"Lote en Pereira, Risaralda","Lote en venta en cerritos, pereira",2540 m²,,,https://www.fincaraiz.com.co/lote-en-venta-en-cerritos-pereira/193151347,2
$ 1.211.908.926,"Apartamento en Pereira, Risaralda","Apartamento en venta en cerritos, pereira",1 Hab,2 Baños,91 m²,https://www.fincaraiz.com.co/apartamento-en-venta-en-cerritos-pereira/193868938,2
$ 823.002.013,"Apartamento en Pereira, Risaralda",Apartamento en venta en pereira,1 Hab,2 Baños,60 m²,https://www.fincaraiz.com.co/apartamento-en-venta-en-pereira/193868944,2
$ 1.725.550.152,"Apartamento en Pereira, Risaralda",Apartamento en venta en pereira,3 Habs.,3 Baños,135 m²,https://www.fincaraiz.com.co/apartamento-en-venta-en-pereira/193868951,2
$ 1.390.033.260,"Casa Campestre en Pereira, Risaralda",Casa campestre en venta en pereira,3 Habs.,3 Baños,140 m²,https://www.fincaraiz.com.co/casa-campestre-en-venta-en-pereira/193872824,2
$ 800.000.000,"Lote en Pereira, Risaralda","Lote en venta en cerritos, pereira",2722 m²,,,https://www.fincaraiz.com.co/lote-en-venta-en-cerritos-pereira/194040754,2
$ 2.700.000.000,"Local Comercial en Pereira, Risaralda","Local en venta en olaya herrera, pereira",715 m²,,,https://www.fincaraiz.com.co/local-en-venta-en-olaya-herrera-pereira/193679951,2
$ 5.100.000.000,"Casa Campestre en Pereira, Risaralda","Casa campestre en venta en cerritos, pereira",4 Habs.,4 Baños,600 m²,https://www.fincaraiz.com.co/casa-campestre-en-venta-en-cerritos-pereira/194259232,2
$ 380.000.000,"Casa en Pereira, Risaralda","Casa en venta en galicia, pereira",2 Habs.,1 Baño,53 m²,https://www.fincaraiz.com.co/casa-en-venta-en-galicia-pereira/194059494,2
$ 500.000.000,"Casa Lote en Pereira, Risaralda","Casa lote en venta en altagracia, pereira",2 Habs.,1 Baño,100 m²,https://www.fincaraiz.com.co/casa-lote-en-venta-en-altagracia-pereira/193399093,2
