precio_texto,tipo_y_ciudad,titulo,habitaciones_texto,banos_texto,area_texto,url_aviso
Desde $ 209.740.910,"Apartamento en Pereira, Risaralda","Fortal reserva de alamos, apartamentos en venta en universidad, pereira",1 Hab,1 Baño,30.45 m²,https://www.fincaraiz.com.co/proyectos-vivienda/fortal-reserva-de-alamos-apartamentos-en-venta-en-universidad-pereira/15018435
$ 596.000.000,"Lote en Pereira, Risaralda","Lote en venta en cerritos, pereira",4775 m²,,,https://www.fincaraiz.com.co/lote-en-venta-en-cerritos-pereira/193151328
$ 825.000.000,"Lote en Pereira, Risaralda","Lote en venta en cerritos, pereira",2750 m²,,,https://www.fincaraiz.com.co/lote-en-venta-en-cerritos-pereira/193151321
Desde $ 500.087.060,"Apartamento en Pereira, Risaralda","Torres de toscana, apartamento en venta en sector belmonte, pereira",2 Habs.,2 Baños,68.56 m²,https://www.fincaraiz.com.co/proyectos-vivienda/torres-de-toscana-apartamentos-en-venta-en-sector-belmonte-pereira/3756160
$ 860.000.000,"Apartamento en Pereira, Risaralda","Apartamento en venta en cerritos, pereira",2 Habs.,2 Baños,80 m²,https://www.fincaraiz.com.co/apartamento-en-venta-en-cerritos-pereira/194135940
$ 199.000.000,"Apartamento en Pereira, Risaralda","Apartamento en venta en coodelmar iii etapa, pereira",3 Habs.,1 Baño,62 m²,https://www.fincaraiz.com.co/apartamento-en-venta-en-coodelmar-iii-etapa-pereira/193489672
$ 810.000.000,"Casa en Pereira, Risaralda","Casa en venta en cerritos, pereira",3 Habs.,4 Baños,123 m²,https://www.fincaraiz.com.co/casa-en-venta-en-cerritos-pereira/194141863
$ 1.800.000.000,"Casa en Pereira, Risaralda","Casa en venta en cerritos, pereira",4 Habs.,4 Baños,350 m²,https://www.fincaraiz.com.co/casa-en-venta-en-cerritos-pereira/194184411
$ 1.600.000.000,"Casa Campestre en Pereira, Risaralda","Casa campestre en venta en cerritos, pereira",3 Habs.,4 Baños,300 m²,https://www.fincaraiz.com.co/casa-campestre-en-venta-en-cerritos-pereira/192682902
Desde $ 171.100.000,"Apartamento en Pereira, Risaralda","Flora, apartamentos en venta en la julia, pereira",2 Habs.,1 Baño,42 m²,https://www.fincaraiz.com.co/proyectos-vivienda/flora-apartamentos-en-venta-en-la-julia-pereira/15018200
$ 2.300.000.000,"Finca en Pereira, Risaralda","Finca en venta en la florida, pereira",3 Habs.,2 Baños,250 m²,https://www.fincaraiz.com.co/finca-en-venta-en-la-florida-pereira/193502314
$ 660.000.000,"Casa en Pereira, Risaralda","Casa en venta en avenida sur, pereira",5 Habs.,4 Baños,160 m²,https://www.fincaraiz.com.co/casa-en-venta-en-avenida-sur-pereira/193802317
$ 2.200.000.000,"Casa en Pereira, Risaralda","Casa en venta en combia, pereira",4 Habs.,5 Baños,480 m²,https://www.fincaraiz.com.co/casa-en-venta-en-combia-pereira/193846127
$ 2.100.000.000,"Casa Campestre en Pereira, Risaralda","Casa campestre en venta en cerritos, pereira",5 Habs.,3 Baños,800 m²,https://www.fincaraiz.com.co/casa-campestre-en-venta-en-cerritos-pereira/193173461
$ 1.700.000.000,"Local Comercial en Pereira, Risaralda","Local en venta en los rosales, pereira",1 Ambiente,2 Baños,380 m²,https://www.fincaraiz.com.co/local-en-venta-en-los-rosales-pereira/7062916
