barrio,cantidad_avisos,precio_m2_promedio,precio_m2_mediana
Sector lago uribe,5,3075955.934612651,3466666.6666666665
Ciudadela del cafe sector c,5,3779341.8075015647,3750000.0
Sector plaza de bolivar,11,3867395.9583584294,3105590.0621118015
Centenario,5,4035274.3741914905,3809523.8095238097
Gamma,6,4282000.857864772,3756393.861892583
Morelia,8,4738558.315260492,4657407.407407407
San jose sur,23,4793625.219360153,5000000.0
Condina,22,5011625.230841559,5226230.89983022
El poblado ii etapa,5,5310135.135135135,5222222.222222222
El dorado,17,5378257.757169222,5465116.279069767
Avenida 30 de agosto,11,5663560.859588805,5890410.95890411
Avenida Sur,9,5730713.066463806,6031746.031746032
Los angeles,15,5749219.445190221,5200000.0
Aeropuerto,7,5871815.194744366,5576923.076923077
Sector belmonte,10,5986429.676654739,5970858.409882801
La julita,9,6031390.066510518,5217391.304347826
Los alamos,29,6117623.962807438,6376811.594202898
Galicia,23,6125054.972134353,6000000.0
Los alpes,10,6239690.9426658405,6031809.676557071
Cambulos,38,6389205.287972544,6009090.33520611
Cerritos,62,7275797.4546189485,7317247.28726442
Pinares,34,7380324.83882682,6533591.99509904
